"State","pvi","governorParty","senateParty","houseBalance","Pop"
"Wyoming","26","Republican","Republican","1R","581075"
"West Virginia","23","Republican","Both","3R","1767859"
"Oklahoma","20","Republican","Republican","5R","3990443"
"North Dakota","20","Republican","Republican","1R","770026"
"Idaho","19","Republican","Republican","2R","1860123"
"South Dakota","16","Republican","Republican","1R","896581"
"Kentucky","16","Republican","Republican","5R, 1D","4480713"
"Arkansas","16","Republican","Republican","4R","3033946"
"Texas","15","Republican","Republican","23R, 13D","29730311"
"Alabama","15","Republican","Republican","6R, 1D","4934193"
"Tennessee","14","Republican","Republican","7R, 2D","6944260"
"Utah","13","Republican","Republican","4R","3310774"
"Nebraska","13","Republican","Republican","3R","1951996"
"Louisiana","12","Democratic","Republican","5R, 1D","4627002"
"Montana","11","Democratic","Both","1R","1085004"
"Kansas","11","Democratic","Republican","3R, 1D","2917224"
"Indiana","11","Republican","Republican","7R, 2D","6805663"
"Missouri","10","Republican","Republican","6R, 2D","6169038"
"Mississippi","9","Republican","Republican","3R, 1D","2966407"
"Alaska","9","Republican","Republican","1R","724357"
"South Carolina","8","Republican","Republican","6R, 1D","5277830"
"Ohio","6","Republican","Both","12R, 4D","11714618"
"Iowa","6","Republican","Republican","3D, 1R","3167974"
"North Carolina","3","Democratic","Republican","8R, 5D","10701022"
"Georgia","3","Republican","Democratic","8R, 6D","10830007"
"Florida","3","Republican","Republican","16R, 11D","21944577"
"Arizona","3","Republican","Democratic","5D, 4R","7520103"
"Wisconsin","2","Republican","Both","5R, 3D","5852490"
"Pennsylvania","2","Democratic","Both","9D, 9R","12804123"
"Michigan","1","Democratic","Democratic","7D, 7R","9992427"
"New Hampshire","","Republican","Democratic","2D","1372203"
"Nevada","","Democratic","Democratic","3D, 1R","3185786"
"Minnesota","-1","Democratic","Democratic","4D, 4R","5706398"
"Maine","-1","Democratic","Both","2D","1354522"
"Virginia","-2","Democratic","Democratic","7D, 4R","8603985"
"New Mexico","-3","Democratic","Democratic","2D, 1R","2105005"
"Colorado","-3","Democratic","Democratic","4D, 3R","5893634"
"Oregon","-6","Democratic","Democratic","4D, 1R","4289439"
"New Jersey","-6","Democratic","Democratic","10D, 2R","8874520"
"Delaware","-6","Democratic","Democratic","1D","990334"
"Illinois","-7","Democratic","Democratic","13D, 5R","12569321"
"Connecticut","-7","Democratic","Democratic","5D","3552821"
"Washington","-8","Democratic","Democratic","7D, 3R","7796941"
"Rhode Island","-8","Democratic","Democratic","2D","1061509"
"New York","-10","Democratic","Democratic","19D, 8R","19299981"
"Massachusetts","-14","Republican","Democratic","9D","6912239"
"Maryland","-14","Republican","Democratic","7D, 1R","6065436"
"California","-14","Democratic","Democratic","42D, 11R","39613493"
"Vermont","-15","Republican","Democratic*","1D","623251"
"Hawaii","-15","Democratic","Democratic","2D","1406430"